trainnumber,occupancy,weekday,from,to
S32265,2,1,http://irail.be/stations/NMBS/008812070,http://irail.be/stations/NMBS/008812112
S32265,2,1,http://irail.be/stations/NMBS/008812112,http://irail.be/stations/NMBS/008812120
S32265,2,1,http://irail.be/stations/NMBS/008812120,http://irail.be/stations/NMBS/008812146
S32265,2,1,http://irail.be/stations/NMBS/008812146,http://irail.be/stations/NMBS/008812153
S32265,2,1,http://irail.be/stations/NMBS/008812153,http://irail.be/stations/NMBS/008812161
S32265,2,1,http://irail.be/stations/NMBS/008812161,http://irail.be/stations/NMBS/008893443
S32265,2,1,http://irail.be/stations/NMBS/008893443,http://irail.be/stations/NMBS/008893401

S32256,1,1,http://irail.be/stations/NMBS/008895448,http://irail.be/stations/NMBS/008895455
S32256,1,1,http://irail.be/stations/NMBS/008895455,http://irail.be/stations/NMBS/008895877
S32256,1,1,http://irail.be/stations/NMBS/008895877,http://irail.be/stations/NMBS/008895869
S32256,1,1,http://irail.be/stations/NMBS/008895869,http://irail.be/stations/NMBS/008895851
S32256,1,1,http://irail.be/stations/NMBS/008895851,http://irail.be/stations/NMBS/008895802
S32256,1,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008814001
S32256,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813003

S32288,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
S32288,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008895802
S32288,1,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895851
S32288,1,1,http://irail.be/stations/NMBS/008895851,http://irail.be/stations/NMBS/008895869
S32288,1,1,http://irail.be/stations/NMBS/008895869,http://irail.be/stations/NMBS/008895877
S32288,1,1,http://irail.be/stations/NMBS/008895877,http://irail.be/stations/NMBS/008895455
S32288,1,1,http://irail.be/stations/NMBS/008895455,http://irail.be/stations/NMBS/008895448

L2779,0,1,http://irail.be/stations/NMBS/008822608,http://irail.be/stations/NMBS/008822004

IC1739,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003
IC1739,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC1739,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008814308
IC1739,1,1,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008883006
IC1739,1,1,http://irail.be/stations/NMBS/008883006,http://irail.be/stations/NMBS/008883113

IC3739,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003
IC3739,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC3739,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008883006
IC3739,1,1,http://irail.be/stations/NMBS/008883006,http://irail.be/stations/NMBS/008883113

IC1740,1,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008813003
IC1740,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC1740,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008814308
IC1740,1,1,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008883006
IC1740,1,1,http://irail.be/stations/NMBS/008883006,http://irail.be/stations/NMBS/008883113

L2878,1,1,http://irail.be/stations/NMBS/008821600,http://irail.be/stations/NMBS/008821634
L2878,1,1,http://irail.be/stations/NMBS/008821634,http://irail.be/stations/NMBS/008821147
L2878,1,1,http://irail.be/stations/NMBS/008821147,http://irail.be/stations/NMBS/008821121
L2878,1,1,http://irail.be/stations/NMBS/008821121,http://irail.be/stations/NMBS/008821006

IC3328,1,1,http://irail.be/stations/NMBS/008821071,http://irail.be/stations/NMBS/008821006
IC3328,1,1,http://irail.be/stations/NMBS/008821006,http://irail.be/stations/NMBS/008821121
IC3328,1,1,http://irail.be/stations/NMBS/008821121,http://irail.be/stations/NMBS/008821238
